OrderNumber,OrderDate,ItemName,Quantity,UnitPrice,Subtotal,Tax,Total,DeliveryStatus,DeliveryCharges,ProductLink
2000128-41269916,2025-03-18,"Clorox Disinfecting Bleach, Regular - 81 fl oz",1,3.84,3.84,0.27,4.11,Delivered,0,https://www.walmart.com/ip/Clorox-Disinfecting-Bleach-Regular-81-fl-oz/10811113
2000128-41269916,2025-03-18,"Fresh Spinach, 10oz",2,1.98,3.96,0.28,4.24,Delivered,0,https://www.walmart.com/ip/Marketside-Fresh-Baby-Spinach-10-oz/121678815
2000128-41269916,2025-03-18,"Great Value Chunk Light Tuna in Water, 5 oz",4,0.88,3.52,0.25,3.77,Delivered,0,https://www.walmart.com/ip/Great-Value-Chunk-Light-Tuna-in-Water-5-oz/132815800
2000128-41269916,2025-03-18,"Oreo Chocolate Sandwich Cookies, Family Size - 19.1 oz",1,3.67,3.67,0.26,3.93,Delivered,0,https://www.walmart.com/ip/OREO-Chocolate-Sandwich-Cookies-Family-Size-19-1-oz/197583603
2000128-41269916,2025-03-18,"Quest Nutrition Protein Bars, 12 ct",1,19.98,19.98,1.40,21.38,Delivered,0,https://www.walmart.com/ip/Quest-Nutrition-Protein-Bars-Birthday-Cake-12-Count/759936826
2000128-41269916,2025-03-18,"Fresh Hass Avocados, Bag of 6",1,3.28,3.28,0.23,3.51,Delivered,0,https://www.walmart.com/ip/Fresh-Hass-Avocados-Bag-of-6/136148126
2000128-41359916,2025-03-25,"Great Value Whole Wheat Bread, 20 oz Loaf",2,1.48,2.96,0.21,3.17,Delivered,0,https://www.walmart.com/ip/Great-Value-Whole-Wheat-Bread-20-oz-Loaf/196143447
2000128-41359916,2025-03-25,"Tyson Boneless Skinless Chicken Breasts, 2.5 lb",1,7.84,7.84,0.55,8.39,Delivered,0,https://www.walmart.com/ip/Tyson-Boneless-Skinless-Chicken-Breasts-2-5-lb-Frozen/22255940
2000128-41359916,2025-03-25,"Fresh Atlantic Salmon Fillet, 1 lb",1,9.98,9.98,0.70,10.68,Delivered,0,https://www.walmart.com/ip/Fresh-Atlantic-Salmon-Fillet-1-lb/310374419
2000128-41359916,2025-03-25,"Doritos Nacho Cheese Flavored Chips, 9.75 oz",2,3.98,7.96,0.56,8.52,Delivered,0,https://www.walmart.com/ip/Doritos-Nacho-Cheese-Flavored-Chips-9-75-oz-Bag/194209565
